,profit
0,9361
1,8142
2,4900
3,8384
4,4347
5,1436
6,10400
7,765
8,10144
9,6527
10,6342
11,8756
12,13232
13,4340
14,16822
15,1107
16,14749
17,10538
18,9729
19,13333
20,5698
21,1553
22,8805
23,5457
24,13823
25,19831
26,17374
27,13989
28,2920
29,19395
30,6265
31,2836
32,4408
33,12858
34,7966
35,15033
36,324
37,15948
38,5565
39,11237
40,2554
41,14002
42,6828
43,2327
44,6811
45,7400
46,5488
47,7402
48,12763
49,19066
50,10929
51,7492
52,19045
53,12675
54,11129
55,753
56,3138
57,6605
58,16405
59,17920
60,2269
61,6516
62,19096
63,18725
64,13828
65,10979
66,19256
67,16362
68,10119
69,2483
70,11878
71,9740
72,238
73,5030
74,19925
75,673
76,15216
77,14602
78,6617
79,6782
80,14368
81,11554
82,16733
83,11169
84,1815
85,1966
86,2892
87,104
88,17783
89,9756
90,12961
91,3003
92,11817
93,2711
94,7173
95,18433
96,5750
97,9330
98,1246
99,10104
100,6402
101,16998
102,4345
103,6548
104,3107
105,10727
106,8109
107,731
108,3434
109,12202
110,289
111,19403
112,14916
113,6149
114,1944
115,18351
116,2949
117,9943
118,18583
119,17647
120,5508
121,14233
122,3618
123,7716
124,12047
125,10188
126,9139
127,10982
128,11416
129,3531
130,1164
131,11225
132,7461
133,3093
134,12779
135,13418
136,17501
137,5573
138,13109
139,852
140,6952
141,18446
142,8367
143,2468
144,1258
145,8365
146,16840
147,19621
148,2986
149,13468
150,172
151,11183
152,10489
153,7074
154,9073
155,12793
156,19094
157,5820
158,19130
159,5934
160,9712
161,9120
162,1442
163,4546
164,14770
165,13908
166,1103
167,3160
168,359
169,9712
170,13037
171,281
172,17615
173,5330
174,16573
175,6993
176,1245
177,8588
178,9211
179,16183
180,324
181,8959
182,6398
183,17196
184,1881
185,7902
186,5712
187,12442
188,16377
189,11251
190,3659
191,4164
192,2600
193,7019
194,19257
195,5152
196,4917
197,1150
198,16258
199,15653
200,3185
201,3608
202,978
203,8165
204,13898
205,19218
206,18203
207,7586
208,6671
209,11690
210,7699
211,11407
212,19375
213,11863
214,10
215,18067
216,9735
217,18889
218,19120
219,6185
220,4795
221,778
222,11252
223,17674
224,8102
225,7232
226,4283
227,6991
228,13839
229,5829
230,16887
231,10702
232,4768
233,10738
234,8380
235,9024
236,14547
237,5021
238,7571
239,1909
240,958
241,14778
242,12057
243,5238
244,17812
245,14370
246,12865
247,6964
248,10296
249,2640
250,10985
251,2583
252,4367
253,11866
254,18285
255,16327
256,10398
257,16837
258,2038
259,12885
260,15508
261,769
262,11354
263,19073
264,133
265,665
266,9687
267,5450
268,12903
269,8571
270,655
271,19260
272,10540
273,9567
274,6130
275,10029
276,13211
277,3453
278,7234
279,8409
280,11067
281,7397
282,7865
283,7777
284,7354
285,1333
286,10982
287,8108
288,14962
289,16971
290,15145
291,2039
292,15339
293,6858
294,12468
295,1767
296,12279
297,16195
298,5844
299,4118
300,16137
301,14746
302,10140
303,7903
304,17127
305,19322
306,9155
307,5168
308,17389
309,5403
310,13914
311,13715
312,7424
313,17915
314,15310
315,4543
316,8943
317,4910
318,7718
319,15113
320,18355
321,14827
322,9579
323,10441
324,6885
325,7613
326,6074
327,911
328,10144
329,6301
330,18037
331,17751
332,16437
333,17290
334,12857
335,16220
336,2062
337,10596
338,10348
339,8493
340,9913
341,9015
342,14855
343,10915
344,13649
345,13004
346,13752
347,8877
348,5014
349,10591
350,12761
351,7845
352,8055
353,11945
354,16146
355,18470
356,16981
357,145
358,10800
359,5717
360,18545
361,17340
362,164
363,17299
364,7671
365,8451
366,14886
367,13218
368,19232
369,7907
370,8143
371,1677
372,17790
373,6945
374,3966
375,6816
376,12022
377,18299
378,9423
379,11800
380,4445
381,497
382,16450
383,6551
384,3253
385,13377
386,5407
387,14072
388,11062
389,2954
390,13205
391,10297
392,1211
393,7552
394,10511
395,17899
396,11955
397,18279
398,10241
399,15826
400,5828
401,10524
402,14073
403,2252
404,11281
405,9498
406,3583
407,6280
408,4367
409,15339
410,5292
411,17359
412,9896
413,15934
414,17581
415,19550
416,81
417,3076
418,10734
419,15868
420,8688
421,14
422,17259
423,14855
424,14025
425,7584
426,14345
427,8294
428,13171
429,8406
430,6791
431,19455
432,10494
433,3793
434,2422
435,18902
436,6559
437,1147
438,3045
439,18872
440,4335
441,19373
442,10204
443,15657
444,12855
445,87
446,7985
447,12764
448,10914
449,516
450,15766
451,2170
452,7878
453,17659
454,10032
455,13336
456,3017
457,16843
458,1733
459,13207
460,19346
461,2675
462,3462
463,13548
464,14170
465,6812
466,16026
467,1146
468,4981
469,16146
470,7350
471,11417
472,5142
473,3144
474,14328
475,6679
476,40
477,18569
478,14253
479,11700
480,10654
481,14111
482,4950
483,4179
