,profit
1,0.832407706
2,0.654932879
3,0.535328241
4,0.852315251
5,0.35454104
6,0.791742529
7,0.468727922
8,0.575608663
9,0.64241233
10,0.212818853
11,0.437588078
12,0.530161838
13,0.943355058
14,0.793797854
15,0.613215311
16,0.325798514
17,0.149656402
18,0.781961344
19,0.523056695
20,0.72587432
21,0.659771074
22,0.607111956
23,0.979539852
24,0.356306633
25,0.262881768
26,0.290931317
27,0.697258126
28,0.443569265
29,0.035574589
30,0.810603426
31,0.387825047
32,0.767104689
33,0.808680075
34,0.86412687
35,0.229044454
36,0.557618437
37,0.991887934
38,0.699625554
39,0.900840969
40,0.199436364
41,0.732526498
42,0.063820376
43,0.512816849
44,0.671951725
45,0.956116316
46,0.327594514
47,0.782664744
48,0.873203908
49,0.021278888
50,0.205281973
51,0.880016944
52,0.66691443
53,0.8658278
54,0.588868732
55,0.389754689
56,0.532747523
57,0.011439816
58,0.913201613
59,0.878374289
60,0.06546513
61,0.562575197
62,0.909652126
63,0.014603912
64,0.122794221
65,0.913421426
66,0.557615003
67,0.329695385
68,0.54922514
69,0.572605052
70,0.694556108
71,0.17341878
72,0.37514555
73,0.239026514
74,0.744432787
75,0.573843397
76,0.732579827
77,0.102112186
78,0.169571806
79,0.401361881
80,0.782820672
81,0.883918405
82,0.955092156
83,0.563829514
84,0.375653514
85,0.015911599
86,0.23633511
87,0.973326293
88,0.963275027
89,0.081725903
90,0.378239199
91,0.32619571
92,0.026595533
93,0.028071193
94,0.259824492
95,0.172912851
96,0.266287254
97,0.340762163
98,0.07512432
99,0.916858432
100,0.852741137
101,0.987206322
102,0.387009812
103,0.637321241
104,0.205798025
105,0.433975553
106,0.177715709
107,0.356830696
108,0.543740057
109,0.480802473
110,0.093377455
111,0.31881621
112,0.599504001
113,0.188835868
114,0.147034971
115,0.064502388
116,0.076159192
117,0.19164468
118,0.819145873
119,0.716035729
120,0.608261679
121,0.235546127
122,0.549093418
123,0.160169025
124,0.933362179
125,0.302529616
126,0.471548378
127,0.525722197
128,0.707405954
129,0.161904508
130,0.773661477
131,0.510419297
132,0.583198258
133,0.037368686
134,0.539623565
135,0.457959966
136,0.515659418
137,0.458345609
138,0.675018978
139,0.110726238
140,0.129073766
141,0.860980801
142,0.725280612
143,0.597847141
144,0.950676957
145,0.948784572
146,0.825176034
147,0.460586895
148,0.807577452
149,0.127391277
150,0.393691304
151,0.921608559
152,0.018347159
153,0.682127011
154,0.615339889
155,0.394826231
156,0.924824523
157,0.63277257
158,0.2807919
159,0.079181442
160,0.577716512
161,0.222176261
162,0.032001057
163,0.0879878
164,0.235904534
165,0.598972341
166,0.226943278
167,0.233845822
168,0.652999843
169,0.463718808
170,0.483319799
171,0.379655128
172,0.730297583
173,0.645281775
174,0.163465004
175,0.515987755
176,0.022713813
177,0.001569275
178,0.4645118
179,0.519212464
180,0.435952039
181,0.450333965
182,0.42213519
183,0.01932735
184,0.792511906
185,0.241199834
186,0.08688428
187,0.187241744
188,0.679784687
189,0.566000401
190,0.630909934
191,0.804081848
192,0.886691422
193,0.251747526
194,0.425701962
195,0.792251689
196,0.333768698
197,0.972050103
198,0.575229862
199,0.796470475
200,0.120243868
201,0.724715684
202,0.304993628
203,0.50963583
204,0.330010565
205,0.734696563
206,0.800054763
207,0.942447269
208,0.58813191
209,0.295049335
210,0.883251593
211,0.485658096
212,0.377860076
213,0.706457736
214,0.136118719
215,0.284556787
216,0.190625006
217,0.154125868
218,0.501193688
219,0.193606134
220,0.213462179
221,0.186710642
222,0.896564243
223,0.796169181
224,0.896861804
225,0.18912337
226,0.338541654
227,0.677292106
228,0.824653651
229,0.602826335
230,0.136555582
231,0.35435586
232,0.067689384
233,0.870703195
234,0.529157601
235,0.1530833
236,0.469540821
237,0.734542538
238,0.037596034
239,0.590447313
240,0.736471997
241,0.517107612
242,0.81279758
243,0.644930489
244,0.058887563
245,0.757872123
246,0.471847839
247,0.135070805
248,0.326094392
249,0.654671494
250,0.675534925
251,0.383847402
252,0.826145047
253,0.210370916
254,0.804410469
255,0.901089541
256,0.133222247
257,0.500845319
258,0.281589045
259,0.780864056
260,0.667399044
261,0.17623168
262,0.491823585
263,0.893502463
264,0.170659368
265,0.385709981
266,0.237392965
267,0.387004281
268,0.789104181
269,0.794861961
270,0.061317207
271,0.999934836
272,0.337276154
273,0.463095779
274,0.467036761
275,0.38596957
276,0.98739752
277,0.631416521
278,0.696500933
279,0.199220838
280,0.403543875
281,0.116875031
282,0.525180095
283,0.23204752
284,0.444607569
285,0.487175645
286,0.02020633
287,0.487539527
288,0.904267291
289,0.832034278
290,0.389898569
291,0.327746442
292,0.908775575
293,0.537605861
294,0.926018432
295,0.329080467
296,0.408658674
297,0.893700604
298,0.518929859
299,0.523728054
300,0.724209428
301,0.966228948
302,0.227276943
303,0.998402887
304,0.898093329
305,0.808351265
306,0.768779634
307,0.499156539
308,0.852634086
309,0.872519888
310,0.263304968
311,0.96741901
312,0.864139119
313,0.644259725
314,0.174692865
315,0.183468075
316,0.278654133
317,0.718619159
318,0.249812127
319,0.068322112
320,0.053916556
321,0.814897968
322,0.230965814
323,0.864507948
324,0.291493854
325,0.179498976
326,0.189413402
327,0.028015228
328,0.553190823
329,0.563516767
330,0.381433414
331,0.166363589
332,0.383356102
333,0.382402819
334,0.029872881
335,0.515885946
336,0.231191091
337,0.19548216
338,0.193425926
339,0.343005043
340,0.639106757
341,0.034729977
342,0.004595918
343,0.483971862
344,0.878184698
345,0.042398953
346,0.002707568
347,0.673240789
348,0.55417927
349,0.308346811
350,0.118736593
351,0.196021199
352,0.316417712
353,0.048373799
354,0.291288016
355,0.209329857
356,0.908856963
357,0.305813446
358,0.768838807
359,0.858128634
360,0.206320057
361,0.339008551
362,0.439496524
363,0.306216101
364,0.193444499
365,0.169614989
366,0.281675106
367,0.907240426
368,0.114649578
369,0.548509861
370,0.732632754
371,0.567207185
372,0.797465579
373,0.079092161
374,0.304975843
375,0.195934751
376,0.40924336
377,0.5237794
378,0.887409735
379,0.487837384
380,0.64584697
381,0.961640172
382,0.872870212
383,0.867286328
384,0.518749427
385,0.344993816
386,0.633383585
387,0.068158258
388,0.536359239
389,0.20779397
390,0.106006626
391,0.727479679
392,0.170469773
393,0.544485602
394,0.255306843
395,0.878276429
396,0.718988001
397,0.687131844
398,0.491935375
399,0.947798657
400,0.22021829
401,0.687787415
402,0.907770541
403,0.681736374
404,0.702715474
405,0.975736436
406,0.825897026
407,0.585663767
408,0.478223784
409,0.536505798
410,0.982212449
411,0.826724688
412,0.896132956
413,0.702304786
414,0.568716598
